,SPY,Regime,Level,Equity_vs_Bond,US10Y,Jobless_Claims_MA,VIX,Market_Breadth,spread_10y2y,DXY,Copper_Gold_Ratio
2010-01-04,84.79634857177734,0,4,2.7938096142421003,3.85,484700.0,20.040000915527344,0.36307746679158537,2.76,77.52999877929688,0.0030312249793800878
2010-01-05,85.02084350585938,0,4,2.7810199109220806,3.77,483750.0,19.350000381469727,0.3641917085761728,2.76,77.62000274658203,0.003037295396297277
2010-01-06,85.08071899414062,0,4,2.7771690243686202,3.85,481700.0,19.15999984741211,0.36528636889442867,2.84,77.48999786376953,0.0030614489718378568
2010-01-07,85.43984985351562,0,4,2.805159027687889,3.85,479650.0,19.059999465942383,0.36554434271900527,2.8200000000000003,77.91000366210938,0.0030107669672728527
2010-01-08,85.72418212890625,0,4,2.792344068946,3.83,477600.0,18.1299991607666,0.36558349293879344,2.87,77.47000122070312,0.0029766299040479257
2010-01-11,85.8438949584961,0,4,2.8020802930251136,3.85,476200.0,17.549999237060547,0.36534143057632645,2.9000000000000004,77.0,0.0029794908164946948
2010-01-12,85.04328155517578,0,4,2.8211015838146194,3.74,474800.0,18.25,0.3645461972784459,2.8200000000000003,76.94999694824219,0.0029564177723352503
2010-01-13,85.76161193847656,0,4,2.8362380670090634,3.8,473350.0,17.850000381469727,0.36533466578346696,2.83,76.8499984741211,0.002980904588971951
2010-01-14,85.99353790283203,0,4,2.8512794411805014,3.76,471900.0,17.6299991607666,0.36488389362582724,2.82,76.7300033569336,0.0029546647992789456
2010-01-15,85.02831268310547,0,4,2.8522054670915566,3.7,470450.0,17.90999984741211,0.3647003036654392,2.81,77.31999969482422,0.00296876390722332
2010-01-19,86.0908203125,0,4,2.8304950132201725,3.73,470900.0,17.579999923706055,0.3652727254358701,2.8,77.5,0.0030157060485135525
2010-01-20,85.2153549194336,0,4,2.870797069302574,3.68,471350.0,18.68000030517578,0.36461921184828444,2.7600000000000002,78.33999633789062,0.0030081810745726328
2010-01-21,83.57677459716797,0,4,2.9031704089335784,3.62,472750.0,22.270000457763672,0.36553348715034584,2.75,78.31999969482422,0.0029790516289944623
2010-01-22,81.71366882324219,0,4,2.9029475000897826,3.62,474150.0,27.309999465942383,0.36477211253313846,2.7800000000000002,78.27999877929688,0.0030650938051330952
2010-01-25,82.13267517089844,0,4,2.8966258392148836,3.66,473750.0,25.40999984741211,0.3651501761122362,2.8000000000000003,78.19000244140625,0.0030898467985883225
2010-01-26,81.78849792480469,0,4,2.9457649096933665,3.65,473350.0,24.549999237060547,0.3653750701247423,2.78,78.43000030517578,0.0030321522198361863
2010-01-27,82.17759704589844,0,4,2.9673744469325967,3.66,473500.0,23.13999938964844,0.36467079471872255,2.7600000000000002,78.68000030517578,0.0029643119495002196
2010-01-28,81.23482513427734,0,4,2.9537963516313988,3.68,473650.0,23.729999542236328,0.3650356873480821,2.81,78.9000015258789,0.002851605743621809
